,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,,,,,,,,,,
49,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,17,17,18,18,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,24,24,24,24,24,24,23,23,23,23,22,22,22,21,21,21,20,20,19,20,20,20,21,21,22,22,23,23,24,24,25,25,25,25,25,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,,,,,,,,,
50,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,17,18,18,18,19,19,19,19,19,19,18,18,18,18,18,18,17,17,17,17,18,19,24,24,23,23,23,23,23,23,23,22,22,22,21,21,21,20,20,19,19,19,19,20,20,21,21,22,22,23,23,23,24,24,24,24,24,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,,,,,,,,,,
51,14,14,14,14,15,15,15,15,15,15,15,15,16,16,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,18,23,23,23,23,23,23,23,22,22,22,22,22,21,21,21,20,20,19,19,19,18,19,19,20,20,20,21,21,22,22,23,23,24,24,24,24,24,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,,,,,,,,,,
52,14,14,14,14,14,14,15,15,15,15,16,16,17,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,18,23,23,22,22,22,22,22,22,22,22,21,21,21,21,21,20,20,19,19,19,18,18,18,19,19,19,20,20,21,21,22,22,22,23,23,23,23,23,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,,,,,,,,,
53,14,14,14,14,14,15,15,15,16,17,17,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,16,16,16,22,22,22,22,22,22,22,22,22,21,21,21,21,21,21,20,20,20,19,19,19,18,18,18,18,18,18,19,19,20,20,20,21,21,22,22,23,23,23,23,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,,,,,,,,,,
54,14,14,14,14,15,16,16,17,17,17,17,18,18,18,18,18,18,17,17,17,17,17,17,17,17,16,16,16,16,21,21,21,21,21,21,21,21,21,21,21,21,21,20,20,20,20,20,19,19,19,18,18,18,17,17,17,18,18,19,19,19,20,20,21,21,22,22,22,22,22,23,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,,,,,,,,,,
55,14,15,15,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,21,21,21,21,21,21,21,21,21,21,21,20,20,20,20,20,20,19,19,19,19,18,18,18,18,17,17,17,17,17,18,18,18,19,19,20,20,20,21,21,22,22,22,22,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,,,,,,,,,,
56,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,19,19,19,19,18,18,18,17,17,17,16,16,16,17,17,17,18,18,19,19,19,20,20,21,21,21,21,21,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,,,,,,,,,
57,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,18,18,18,18,17,17,17,17,16,16,16,16,16,17,17,17,18,18,18,19,19,20,20,20,21,21,21,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,,,,,,,,,,
58,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,17,17,17,17,16,16,16,16,15,15,16,16,16,17,17,17,18,18,19,19,19,20,20,20,21,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,,,,,,,,,,
