i,j,k,probability
0,5,10,0.529425365728599
0,5,11,0.5339036244153351
0,5,12,0.5385924758856888
0,5,13,0.5434934348509313
0,5,14,0.5485992218279582
0,5,15,0.5539049787786134
0,5,16,0.5595409731216663
0,5,17,0.5654620280188718
0,5,18,0.5716265436886887
0,5,19,0.5780049756355892
0,5,20,0.5845397006618461
0,5,21,0.5913755148184092
0,5,22,0.5992779940906269
0,5,23,0.6071528731007128
0,5,24,0.6149920696869973
0,5,25,0.6228102923673924
0,5,26,0.6305838649966686
0,5,27,0.6383394545192378
0,5,28,0.6460163620139281
0,5,29,0.6536563889579066
0,5,30,0.6612964398288703
0,5,31,0.6689680041299824
0,5,32,0.6766882269137406
0,5,33,0.6844903090515551
0,5,34,0.6923325497945529
0,5,35,0.7000912607119424
0,5,36,0.7078252993494063
0,5,37,0.7155162640276724
0,5,38,0.723162617991554
0,5,39,0.730761732955945
0,5,40,0.7383334701559394
0,5,41,0.7458631073786771
0,5,42,0.7533451022390347
0,5,43,0.7607780696834516
0,5,44,0.7681002780103776
0,5,45,0.7752441357552733
0,5,46,0.7822187232293327
0,5,47,0.7890027826308635
0,5,48,0.7955943060268226
0,5,49,0.8020727650877416
0,5,50,0.8084053508519796
0,5,51,0.8147552459550912
0,5,52,0.8211686701674129
0,5,53,0.8277839296534325
0,5,54,0.8343893308658074
0,5,55,0.8411218459881414
0,5,56,0.8477367987082305
0,5,57,0.8540456496032189
0,5,58,0.8601384940986867
0,5,59,0.8660973387119071
0,5,60,0.8719635175529554
0,5,61,0.8778534505718447
0,5,62,0.8836738196416885
0,5,63,0.8890804208484511
0,5,64,0.8941844053045646
0,5,65,0.8989524167114771
0,5,66,0.9034755664379907
0,5,67,0.9078859810947901
0,5,68,0.9120572195723281
0,5,69,0.915994698138382
0,5,70,0.9199002517516933
0,5,71,0.9238162038592197
0,5,72,0.9278100310634527
0,5,73,0.9320522816353911
0,5,74,0.9366576452097546
0,5,75,0.9412863155362892
0,5,76,0.9455185664862681
0,5,77,0.9482193243780356
0,5,78,0.9518301503159154
0,5,79,0.9560007464646086
0,5,80,0.9599258439530827
0,5,81,0.9635578590512076
0,5,82,0.9669677984869616
0,5,83,0.9701748400216145
0,5,84,0.9720272426234803
0,5,85,0.973230998444159
0,5,86,0.974390947308115
0,5,87,0.9754290441728758
0,5,88,0.9765049594724504
0,5,89,0.9775574042285352
0,5,90,0.9785531796784035
0,5,91,0.9794636458612456
0,5,92,0.9803346092224807
0,5,93,0.9809381368682886
0,5,94,0.9820596987594334
0,5,95,0.9829359306449463
0,5,96,0.9836352981844586
0,5,97,0.9841906770451305
0,5,98,0.9847095967795386
0,5,99,0.9847095967795386
0,6,0,0.4868334124536645
0,6,1,0.4896855825865376
0,6,2,0.4926695315933959
0,6,3,0.49578997455542684
0,6,4,0.4990538624600265
0,6,5,0.5024690013727727
0,6,6,0.506042973876787
0,6,7,0.5097825523996244
0,6,8,0.5136936686057856
0,6,9,0.5177765202417823
0,6,10,0.5220523288098597
0,6,11,0.5265338073631645
0,6,12,0.5312263874342558
0,6,13,0.5361311397542008
0,6,14,0.5412432174895555
0,6,15,0.5465494386373757
0,6,16,0.5521886587810634
0,6,17,0.5581152587669537
0,6,18,0.5642866201958046
0,6,19,0.570671731424828
0,6,20,0.577221905057711
0,6,21,0.5840259856815646
0,6,22,0.5919505796300016
0,6,23,0.5998462201457022
0,6,24,0.6076999000259626
0,6,25,0.6155325724431638
0,6,26,0.623327027450366
0,6,27,0.63110776600336
0,6,28,0.6388417203561461
0,6,29,0.6465413942831977
0,6,30,0.6542640984681574
0,6,31,0.6620419559450034
0,6,32,0.6698741657450162
0,6,33,0.6777867225523263
0,6,34,0.6856968537664595
0,6,35,0.693540898762116
0,6,36,0.7013426860782963
0,6,37,0.7091107107781963
0,6,38,0.7168355116916604
0,6,39,0.7245325817574103
0,6,40,0.7321990315372515
